chr1	Start	End	Unique ID	Gene NMID Ex	Gene	Strand	Purpose			Width
chr1	15922246	15922351	chr1_15922246_15922351_SPEN	SPEN_NM_015001.3_exon10_CDS	SPEN	+	mutation_panel	.	.	105
chr1	15928088	15936268	chr1_15928088_15936268_SPEN	SPEN_NM_015001.3_exon11_CDS	SPEN	+	mutation_panel	.	.	8180
chr1	15937160	15937647	chr1_15937160_15937647_SPEN	SPEN_NM_015001.3_exon12_CDS	SPEN	+	mutation_panel	.	.	487
chr1	15937809	15938008	chr1_15937809_15938008_SPEN	SPEN_NM_015001.3_exon13_CDS	SPEN	+	mutation_panel	.	.	199
chr1	15938715	15938878	chr1_15938715_15938878_SPEN	SPEN_NM_015001.3_exon14_CDS	SPEN	+	mutation_panel	.	.	163
chr1	15939293	15939429	chr1_15939293_15939429_SPEN	SPEN_NM_015001.3_exon15_CDS	SPEN	+	mutation_panel	.	.	136
chr1	23558957	23559021	chr1_23558957_23559021_ID3	ID3_NM_002167.5_exon2_CDS	ID3	-	mutation_panel	.	.	64
chr1	23559124	23559428	chr1_23559124_23559428_ID3	ID3_NM_002167.5_exon1_CDS	ID3	-	mutation_panel	.	.	304
chr1	26696401	26697542	chr1_26696401_26697542_ARID1A	ARID1A_NM_006015.6_exon1_CDS	ARID1A	+	mutation_panel	.	.	1141
chr1	26729648	26729865	chr1_26729648_26729865_ARID1A	ARID1A_NM_006015.6_exon2_CDS	ARID1A	+	mutation_panel	.	.	217
chr1	26731149	26731606	chr1_26731149_26731606_ARID1A	ARID1A_NM_006015.6_exon3_CDS	ARID1A	+	mutation_panel	.	.	457
chr1	26732673	26732794	chr1_26732673_26732794_ARID1A	ARID1A_NM_006015.6_exon4_CDS	ARID1A	+	mutation_panel	.	.	121
chr1	26760853	26761098	chr1_26760853_26761098_ARID1A	ARID1A_NM_006015.6_exon5_CDS	ARID1A	+	mutation_panel	.	.	245
chr1	26761381	26761475	chr1_26761381_26761475_ARID1A	ARID1A_NM_006015.6_exon6_CDS	ARID1A	+	mutation_panel	.	.	94
chr1	26762149	26762321	chr1_26762149_26762321_ARID1A	ARID1A_NM_006015.6_exon7_CDS	ARID1A	+	mutation_panel	.	.	172
chr1	26762970	26763287	chr1_26762970_26763287_ARID1A	ARID1A_NM_006015.6_exon8_CDS	ARID1A	+	mutation_panel	.	.	317
chr1	26766218	26766368	chr1_26766218_26766368_ARID1A	ARID1A_NM_006015.6_exon9_CDS	ARID1A	+	mutation_panel	.	.	150
chr1	26766454	26766568	chr1_26766454_26766568_ARID1A	ARID1A_NM_006015.6_exon10_CDS	ARID1A	+	mutation_panel	.	.	114
chr1	26767787	26768001	chr1_26767787_26768001_ARID1A	ARID1A_NM_006015.6_exon11_CDS	ARID1A	+	mutation_panel	.	.	214
chr1	26771116	26771328	chr1_26771116_26771328_ARID1A	ARID1A_NM_006015.6_exon12_CDS	ARID1A	+	mutation_panel	.	.	212
chr1	26772497	26772634	chr1_26772497_26772634_ARID1A	ARID1A_NM_006015.6_exon13_CDS	ARID1A	+	mutation_panel	.	.	137
chr1	26772809	26772989	chr1_26772809_26772989_ARID1A	ARID1A_NM_006015.6_exon14_CDS	ARID1A	+	mutation_panel	.	.	180
chr1	26773343	26773498	chr1_26773343_26773498_ARID1A	ARID1A_NM_006015.6_exon15_CDS	ARID1A	+	mutation_panel	.	.	155
chr1	26773577	26773719	chr1_26773577_26773719_ARID1A	ARID1A_NM_006015.6_exon16_CDS	ARID1A	+	mutation_panel	.	.	142
chr1	26773799	26773900	chr1_26773799_26773900_ARID1A	ARID1A_NM_006015.6_exon17_CDS	ARID1A	+	mutation_panel	.	.	101
chr1	26774326	26775222	chr1_26774326_26775222_ARID1A	ARID1A_NM_006015.6_exon18_CDS	ARID1A	+	mutation_panel	.	.	896
chr1	26775574	26775709	chr1_26775574_26775709_ARID1A	ARID1A_NM_006015.6_exon19_CDS	ARID1A	+	mutation_panel	.	.	135
chr1	26779020	26780758	chr1_26779020_26780758_ARID1A	ARID1A_NM_006015.6_exon20_CDS	ARID1A	+	mutation_panel	.	.	1738
chr1	37475494	37475941	chr1_37475494_37475941_ZC3H12A	ZC3H12A_NM_025079.3_exon2_CDS	ZC3H12A	+	mutation_panel	.	.	447
chr1	37480287	37480431	chr1_37480287_37480431_ZC3H12A	ZC3H12A_NM_025079.3_exon3_CDS	ZC3H12A	+	mutation_panel	.	.	144
chr1	37481598	37481837	chr1_37481598_37481837_ZC3H12A	ZC3H12A_NM_025079.3_exon4_CDS	ZC3H12A	+	mutation_panel	.	.	239
chr1	37482431	37482542	chr1_37482431_37482542_ZC3H12A	ZC3H12A_NM_025079.3_exon5_CDS	ZC3H12A	+	mutation_panel	.	.	111
chr1	37482734	37483613	chr1_37482734_37483613_ZC3H12A	ZC3H12A_NM_025079.3_exon6_CDS	ZC3H12A	+	mutation_panel	.	.	879
chr1	38839550	38839706	chr1_38839550_38839706_RRAGC	RRAGC_NM_022157.4_exon7_CDS	RRAGC	-	mutation_panel	.	.	156
chr1	38845936	38846089	chr1_38845936_38846089_RRAGC	RRAGC_NM_022157.4_exon6_CDS	RRAGC	-	mutation_panel	.	.	153
chr1	38851612	38851759	chr1_38851612_38851759_RRAGC	RRAGC_NM_022157.4_exon5_CDS	RRAGC	-	mutation_panel	.	.	147
chr1	38852371	38852490	chr1_38852371_38852490_RRAGC	RRAGC_NM_022157.4_exon4_CDS	RRAGC	-	mutation_panel	.	.	119
chr1	38855705	38855909	chr1_38855705_38855909_RRAGC	RRAGC_NM_022157.4_exon3_CDS	RRAGC	-	mutation_panel	.	.	204
chr1	38856876	38857084	chr1_38856876_38857084_RRAGC	RRAGC_NM_022157.4_exon2_CDS	RRAGC	-	mutation_panel	.	.	208
chr1	38859407	38859648	chr1_38859407_38859648_RRAGC	RRAGC_NM_022157.4_exon1_CDS	RRAGC	-	mutation_panel	.	.	241
chr1	64834559	64834659	chr1_64834559_64834659_JAK1	JAK1_NM_002227.4_exon25_CDS	JAK1	-	mutation_panel	.	.	100
chr1	64835393	64835508	chr1_64835393_64835508_JAK1	JAK1_NM_002227.4_exon24_CDS	JAK1	-	mutation_panel	.	.	115
chr1	64836095	64836217	chr1_64836095_64836217_JAK1	JAK1_NM_002227.4_exon23_CDS	JAK1	-	mutation_panel	.	.	122
chr1	64837929	64838106	chr1_64837929_64838106_JAK1	JAK1_NM_002227.4_exon22_CDS	JAK1	-	mutation_panel	.	.	177
chr1	64838462	64838591	chr1_64838462_64838591_JAK1	JAK1_NM_002227.4_exon21_CDS	JAK1	-	mutation_panel	.	.	129
chr1	64839600	64839797	chr1_64839600_64839797_JAK1	JAK1_NM_002227.4_exon20_CDS	JAK1	-	mutation_panel	.	.	197
chr1	64841242	64841341	chr1_64841242_64841341_JAK1	JAK1_NM_002227.4_exon19_CDS	JAK1	-	mutation_panel	.	.	99
chr1	64841448	64841603	chr1_64841448_64841603_JAK1	JAK1_NM_002227.4_exon18_CDS	JAK1	-	mutation_panel	.	.	155
chr1	64844061	64844217	chr1_64844061_64844217_JAK1	JAK1_NM_002227.4_exon17_CDS	JAK1	-	mutation_panel	.	.	156
chr1	64844751	64844891	chr1_64844751_64844891_JAK1	JAK1_NM_002227.4_exon16_CDS	JAK1	-	mutation_panel	.	.	140
chr1	64845510	64845642	chr1_64845510_64845642_JAK1	JAK1_NM_002227.4_exon15_CDS	JAK1	-	mutation_panel	.	.	132
chr1	64846646	64846738	chr1_64846646_64846738_JAK1	JAK1_NM_002227.4_exon14_CDS	JAK1	-	mutation_panel	.	.	92
chr1	64847529	64847677	chr1_64847529_64847677_JAK1	JAK1_NM_002227.4_exon13_CDS	JAK1	-	mutation_panel	.	.	148
chr1	64850801	64850912	chr1_64850801_64850912_JAK1	JAK1_NM_002227.4_exon12_CDS	JAK1	-	mutation_panel	.	.	111
chr1	64855506	64855700	chr1_64855506_64855700_JAK1	JAK1_NM_002227.4_exon11_CDS	JAK1	-	mutation_panel	.	.	194
chr1	64857653	64857781	chr1_64857653_64857781_JAK1	JAK1_NM_002227.4_exon10_CDS	JAK1	-	mutation_panel	.	.	128
chr1	64860102	64860264	chr1_64860102_64860264_JAK1	JAK1_NM_002227.4_exon9_CDS	JAK1	-	mutation_panel	.	.	162
chr1	64864784	64864974	chr1_64864784_64864974_JAK1	JAK1_NM_002227.4_exon8_CDS	JAK1	-	mutation_panel	.	.	190
chr1	64866863	64867210	chr1_64866863_64867210_JAK1	JAK1_NM_002227.4_exon7_CDS	JAK1	-	mutation_panel	.	.	347
chr1	64869308	64869476	chr1_64869308_64869476_JAK1	JAK1_NM_002227.4_exon6_CDS	JAK1	-	mutation_panel	.	.	168
chr1	64873367	64873525	chr1_64873367_64873525_JAK1	JAK1_NM_002227.4_exon5_CDS	JAK1	-	mutation_panel	.	.	158
chr1	64879022	64879150	chr1_64879022_64879150_JAK1	JAK1_NM_002227.4_exon4_CDS	JAK1	-	mutation_panel	.	.	128
chr1	64883274	64883477	chr1_64883274_64883477_JAK1	JAK1_NM_002227.4_exon3_CDS	JAK1	-	mutation_panel	.	.	203
chr1	64886256	64886266	chr1_64886256_64886266_JAK1	JAK1_NM_002227.4_exon2_CDS	JAK1	-	mutation_panel	.	.	10
chr1	85267624	85267984	chr1_85267624_85267984_BCL10	BCL10_NM_003921.5_exon3_CDS	BCL10	-	mutation_panel	.	.	360
chr1	85270615	85270908	chr1_85270615_85270908_BCL10	BCL10_NM_003921.5_exon2_CDS	BCL10	-	mutation_panel	.	.	293
chr1	85276293	85276354	chr1_85276293_85276354_BCL10	BCL10_NM_003921.5_exon1_CDS	BCL10	-	mutation_panel	.	.	61
chr1	101238982	101240135	chr1_101238982_101240135_S1PR1	S1PR1_NM_001400.5_exon2_CDS	S1PR1	+	mutation_panel	.	.	1153
chr1	114708532	114708656	chr1_114708532_114708656_NRAS	NRAS_NM_002524.5_exon5_CDS	NRAS	-	mutation_panel	.	.	124
chr1	114709566	114709730	chr1_114709566_114709730_NRAS	NRAS_NM_002524.5_exon4_CDS	NRAS	-	mutation_panel	.	.	164
chr1	114713797	114713980	chr1_114713797_114713980_NRAS	NRAS_NM_002524.5_exon3_CDS	NRAS	-	mutation_panel	.	.	183
chr1	114716047	114716162	chr1_114716047_114716162_NRAS	NRAS_NM_002524.5_exon2_CDS	NRAS	-	mutation_panel	.	.	115
chr1	116514810	116514824	chr1_116514810_116514824_CD58	CD58_NM_001779.3_exon6_CDS	CD58	-	mutation_panel	.	.	14
chr1	116519228	116519269	chr1_116519228_116519269_CD58	CD58_NM_001779.3_exon5_CDS	CD58	-	mutation_panel	.	.	41
chr1	116521903	116521985	chr1_116521903_116521985_CD58	CD58_NM_001779.3_exon4_CDS	CD58	-	mutation_panel	.	.	82
chr1	116535962	116536230	chr1_116535962_116536230_CD58	CD58_NM_001779.3_exon3_CDS	CD58	-	mutation_panel	.	.	268
chr1	116544308	116544606	chr1_116544308_116544606_CD58	CD58_NM_001779.3_exon2_CDS	CD58	-	mutation_panel	.	.	298
chr1	116570900	116570974	chr1_116570900_116570974_CD58	CD58_NM_001779.3_exon1_CDS	CD58	-	mutation_panel	.	.	74
chr1	117622866	117624046	chr1_117622866_117624046_TENT5C	TENT5C_NM_017709.4_exon2_CDS	TENT5C	+	mutation_panel	.	.	1180
chr1	119911550	119916696	chr1_119911550_119916696_NOTCH2	NOTCH2_NM_024408.4_exon34_3UTR;NOTCH2_NM_024408.4_exon34_CDS	NOTCH2	-	mutation_panel	.	.	5146
chr1	119917662	119917764	chr1_119917662_119917764_NOTCH2	NOTCH2_NM_024408.4_exon33_CDS	NOTCH2	-	mutation_panel	.	.	102
chr1	119918403	119918555	chr1_119918403_119918555_NOTCH2	NOTCH2_NM_024408.4_exon32_CDS	NOTCH2	-	mutation_panel	.	.	152
chr1	119919309	119919615	chr1_119919309_119919615_NOTCH2	NOTCH2_NM_024408.4_exon31_CDS	NOTCH2	-	mutation_panel	.	.	306
chr1	119920226	119920399	chr1_119920226_119920399_NOTCH2	NOTCH2_NM_024408.4_exon30_CDS	NOTCH2	-	mutation_panel	.	.	173
chr1	119921710	119921811	chr1_119921710_119921811_NOTCH2	NOTCH2_NM_024408.4_exon29_CDS	NOTCH2	-	mutation_panel	.	.	101
chr1	119922233	119922448	chr1_119922233_119922448_NOTCH2	NOTCH2_NM_024408.4_exon28_CDS	NOTCH2	-	mutation_panel	.	.	215
chr1	119922633	119922780	chr1_119922633_119922780_NOTCH2	NOTCH2_NM_024408.4_exon27_CDS	NOTCH2	-	mutation_panel	.	.	147
chr1	119923634	119923986	chr1_119923634_119923986_NOTCH2	NOTCH2_NM_024408.4_exon26_CDS	NOTCH2	-	mutation_panel	.	.	352
chr1	119925302	119925812	chr1_119925302_119925812_NOTCH2	NOTCH2_NM_024408.4_exon25_CDS	NOTCH2	-	mutation_panel	.	.	510
chr1	119926496	119926613	chr1_119926496_119926613_NOTCH2	NOTCH2_NM_024408.4_exon24_CDS	NOTCH2	-	mutation_panel	.	.	117
chr1	119928973	119929214	chr1_119928973_119929214_NOTCH2	NOTCH2_NM_024408.4_exon23_CDS	NOTCH2	-	mutation_panel	.	.	241
chr1	119935469	119935606	chr1_119935469_119935606_NOTCH2	NOTCH2_NM_024408.4_exon22_CDS	NOTCH2	-	mutation_panel	.	.	137
chr1	119937279	119937468	chr1_119937279_119937468_NOTCH2	NOTCH2_NM_024408.4_exon21_CDS	NOTCH2	-	mutation_panel	.	.	189
chr1	119937854	119938012	chr1_119937854_119938012_NOTCH2	NOTCH2_NM_024408.4_exon20_CDS	NOTCH2	-	mutation_panel	.	.	158
chr1	119940552	119940758	chr1_119940552_119940758_NOTCH2	NOTCH2_NM_024408.4_exon19_CDS	NOTCH2	-	mutation_panel	.	.	206
chr1	119941523	119941756	chr1_119941523_119941756_NOTCH2	NOTCH2_NM_024408.4_exon18_CDS	NOTCH2	-	mutation_panel	.	.	233
chr1	119948411	119948568	chr1_119948411_119948568_NOTCH2	NOTCH2_NM_024408.4_exon17_CDS	NOTCH2	-	mutation_panel	.	.	157
chr1	119949004	119949128	chr1_119949004_119949128_NOTCH2	NOTCH2_NM_024408.4_exon16_CDS	NOTCH2	-	mutation_panel	.	.	124
chr1	119950721	119950839	chr1_119950721_119950839_NOTCH2	NOTCH2_NM_024408.4_exon15_CDS	NOTCH2	-	mutation_panel	.	.	118
chr1	119953540	119953690	chr1_119953540_119953690_NOTCH2	NOTCH2_NM_024408.4_exon14_CDS	NOTCH2	-	mutation_panel	.	.	150
chr1	119955037	119955234	chr1_119955037_119955234_NOTCH2	NOTCH2_NM_024408.4_exon13_CDS	NOTCH2	-	mutation_panel	.	.	197
chr1	119959389	119959504	chr1_119959389_119959504_NOTCH2	NOTCH2_NM_024408.4_exon12_CDS	NOTCH2	-	mutation_panel	.	.	115
chr1	119963571	119963809	chr1_119963571_119963809_NOTCH2	NOTCH2_NM_024408.4_exon11_CDS	NOTCH2	-	mutation_panel	.	.	238
chr1	119965450	119965568	chr1_119965450_119965568_NOTCH2	NOTCH2_NM_024408.4_exon10_CDS	NOTCH2	-	mutation_panel	.	.	118
chr1	119966373	119966491	chr1_119966373_119966491_NOTCH2	NOTCH2_NM_024408.4_exon9_CDS	NOTCH2	-	mutation_panel	.	.	118
chr1	119967430	119967623	chr1_119967430_119967623_NOTCH2	NOTCH2_NM_024408.4_exon8_CDS	NOTCH2	-	mutation_panel	.	.	193
chr1	119968074	119968234	chr1_119968074_119968234_NOTCH2	NOTCH2_NM_024408.4_exon7_CDS	NOTCH2	-	mutation_panel	.	.	160
chr1	119969508	119969746	chr1_119969508_119969746_NOTCH2	NOTCH2_NM_024408.4_exon6_CDS	NOTCH2	-	mutation_panel	.	.	238
chr1	119986957	119987084	chr1_119986957_119987084_NOTCH2	NOTCH2_NM_024408.4_exon5_CDS	NOTCH2	-	mutation_panel	.	.	127
chr1	119996994	119997334	chr1_119996994_119997334_NOTCH2	NOTCH2_NM_024408.4_exon4_CDS	NOTCH2	-	mutation_panel	.	.	340
chr1	120005326	120005590	chr1_120005326_120005590_NOTCH2	NOTCH2_NM_024408.4_exon3_CDS	NOTCH2	-	mutation_panel	.	.	264
chr1	120029903	120029989	chr1_120029903_120029989_NOTCH2	NOTCH2_NM_024408.4_exon2_CDS	NOTCH2	-	mutation_panel	.	.	86
chr1	120069331	120069408	chr1_120069331_120069408_NOTCH2	NOTCH2_NM_024408.4_exon1_CDS	NOTCH2	-	mutation_panel	.	.	77
chr1	149886023	149887503	chr1_149886023_149887503_H2AC21	H2AC21_SHM	H2AC21	.	SHM_panel	.	.	1480
chr1	150577372	150577493	chr1_150577372_150577493_MCL1	MCL1_NM_021960.5_exon3_CDS	MCL1	-	mutation_panel	.	.	121
chr1	150578241	150578493	chr1_150578241_150578493_MCL1	MCL1_NM_021960.5_exon2_CDS	MCL1	-	mutation_panel	.	.	252
chr1	150578840	150579532	chr1_150578840_150579532_MCL1	MCL1_NM_021960.5_exon1_CDS	MCL1	-	mutation_panel	.	.	692
chr1	150733043	150733147	chr1_150733043_150733147_CTSS	CTSS_NM_004079.5_exon8_CDS	CTSS	-	mutation_panel	.	.	104
chr1	150747774	150747881	chr1_150747774_150747881_CTSS	CTSS_NM_004079.5_exon7_CDS	CTSS	-	mutation_panel	.	.	107
chr1	150750003	150750173	chr1_150750003_150750173_CTSS	CTSS_NM_004079.5_exon6_CDS	CTSS	-	mutation_panel	.	.	170
chr1	150751778	150752010	chr1_150751778_150752010_CTSS	CTSS_NM_004079.5_exon5_CDS	CTSS	-	mutation_panel	.	.	232
chr1	150754998	150755152	chr1_150754998_150755152_CTSS	CTSS_NM_004079.5_exon4_CDS	CTSS	-	mutation_panel	.	.	154
chr1	150757855	150757982	chr1_150757855_150757982_CTSS	CTSS_NM_004079.5_exon3_CDS	CTSS	-	mutation_panel	.	.	127
chr1	150764635	150764765	chr1_150764635_150764765_CTSS	CTSS_NM_004079.5_exon2_CDS	CTSS	-	mutation_panel	.	.	130
chr1	160610745	160610800	chr1_160610745_160610800_SLAMF1	SLAMF1_NM_003037.5_exon7_CDS	SLAMF1	-	mutation_panel	.	.	55
chr1	160612485	160612582	chr1_160612485_160612582_SLAMF1	SLAMF1_NM_003037.5_exon6_CDS	SLAMF1	-	mutation_panel	.	.	97
chr1	160619773	160619851	chr1_160619773_160619851_SLAMF1	SLAMF1_NM_003037.5_exon5_CDS	SLAMF1	-	mutation_panel	.	.	78
chr1	160624093	160624187	chr1_160624093_160624187_SLAMF1	SLAMF1_NM_003037.5_exon4_CDS	SLAMF1	-	mutation_panel	.	.	94
chr1	160634610	160634899	chr1_160634610_160634899_SLAMF1	SLAMF1_NM_003037.5_exon3_CDS	SLAMF1	-	mutation_panel	.	.	289
chr1	160637188	160637531	chr1_160637188_160637531_SLAMF1	SLAMF1_NM_003037.5_exon2_CDS	SLAMF1	-	mutation_panel	.	.	343
chr1	160646867	160646947	chr1_160646867_160646947_SLAMF1	SLAMF1_NM_003037.5_exon1_CDS	SLAMF1	-	mutation_panel	.	.	80
chr1	203303266	203308020	chr1_203303266_203308020_BTG2	BTG2_NM_006763.3_exon1_CDS;BTG2_NM_006763.3_exon2_CDS;BTG2_SHM	BTG2	+	SHM_panel|mutation_panel	.	.	4754
chr1	226634668	226634888	chr1_226634668_226634888_ITPKB	ITPKB_NM_002221.4_exon8_CDS	ITPKB	-	mutation_panel	.	.	220
chr1	226637676	226637752	chr1_226637676_226637752_ITPKB	ITPKB_NM_002221.4_exon7_CDS	ITPKB	-	mutation_panel	.	.	76
chr1	226639554	226639660	chr1_226639554_226639660_ITPKB	ITPKB_NM_002221.4_exon6_CDS	ITPKB	-	mutation_panel	.	.	106
chr1	226641918	226642127	chr1_226641918_226642127_ITPKB	ITPKB_NM_002221.4_exon5_CDS	ITPKB	-	mutation_panel	.	.	209
chr1	226647164	226647382	chr1_226647164_226647382_ITPKB	ITPKB_NM_002221.4_exon4_CDS	ITPKB	-	mutation_panel	.	.	218
chr1	226648669	226648773	chr1_226648669_226648773_ITPKB	ITPKB_NM_002221.4_exon3_CDS	ITPKB	-	mutation_panel	.	.	104
chr1	226735524	226737460	chr1_226735524_226737460_ITPKB	ITPKB_NM_002221.4_exon2_CDS	ITPKB	-	mutation_panel	.	.	1936
chr1	234607134	234607854	chr1_234607134_234607854_IRF2BP2	IRF2BP2_NM_182972.3_exon2_CDS	IRF2BP2	-	mutation_panel	.	.	720
chr1	234608444	234609496	chr1_234608444_234609496_IRF2BP2	IRF2BP2_NM_182972.3_exon1_CDS	IRF2BP2	-	mutation_panel	.	.	1052
chr10	8055653	8055898	chr10_8055653_8055898_GATA3	GATA3_NM_001002295.2_exon2_CDS	GATA3	+	mutation_panel	.	.	245
chr10	8058302	8058843	chr10_8058302_8058843_GATA3	GATA3_NM_001002295.2_exon3_CDS	GATA3	+	mutation_panel	.	.	541
chr10	8063990	8064140	chr10_8063990_8064140_GATA3	GATA3_NM_001002295.2_exon4_CDS	GATA3	+	mutation_panel	.	.	150
chr10	8069470	8069600	chr10_8069470_8069600_GATA3	GATA3_NM_001002295.2_exon5_CDS	GATA3	+	mutation_panel	.	.	130
chr10	8073736	8074025	chr10_8073736_8074025_GATA3	GATA3_NM_001002295.2_exon6_CDS	GATA3	+	mutation_panel	.	.	289
chr10	42121451	42122101	chr10_42121451_42122101_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	650
chr10	54779337	54779486	chr10_54779337_54779486_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	149
chr10	61901707	61901732	chr10_61901707_61901732_ARID5B	ARID5B_NM_032199.3_exon1_CDS	ARID5B	+	mutation_panel	.	.	25
